2019-07-01 16:56:52 INFO  root:20 - void com.revature.beans.Bear.bearHibernates() was called
2019-07-01 16:56:52 INFO  root:20 - String com.revature.beans.Bear.toString() was called
2019-07-01 16:57:12 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@573fd745: startup date [Mon Jul 01 16:57:12 CDT 2019]; root of context hierarchy
2019-07-01 16:57:12 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2019-07-01 16:57:13 INFO  root:20 - boolean com.revature.beans.Bear.isFull() was called
2019-07-01 16:57:13 INFO  root:20 - boolean com.revature.beans.Bear.isAwake() was called
2019-07-01 16:57:13 INFO  root:35 - setter called (setFull)
2019-07-01 16:57:13 INFO  root:20 - void com.revature.beans.Bear.setFull(boolean) was called
2019-07-01 16:57:13 INFO  root:30 - bear attempted to hibernate
2019-07-01 16:57:13 INFO  root:20 - void com.revature.beans.Bear.bearHibernates() was called
2019-07-01 16:57:13 INFO  root:20 - void com.revature.beans.Bear.wakeBear() was called
2019-07-01 16:57:13 INFO  root:20 - String com.revature.beans.Bear.toString() was called
